epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.215,1.48497,1.60431,1.03512,0.78467,0.86094,0.87657,0.48509,1.61131,inf,1.29627,0.0721,0.0031,0.0031
2,525.532,1.25576,0.77024,0.9615,0.85786,0.89874,0.92338,0.60737,1.1773,0.78966,1.03616,0.0430505,0.00605052,0.00605052
3,780.376,1.17757,0.69057,0.93498,0.80887,0.93057,0.84802,0.56052,1.13777,0.83404,0.97564,0.0137476,0.0087476,0.0087476
4,997.332,1.11761,0.64067,0.92277,0.96003,0.95229,0.97699,0.71195,1.00302,0.65256,0.92005,0.008812,0.008812,0.008812
5,1317.08,1.07056,0.59814,0.90775,0.97091,0.95758,0.9831,0.71208,0.99159,0.61836,0.91503,0.008416,0.008416,0.008416
6,1529.01,1.0587,0.58136,0.90553,0.97841,0.9696,0.98951,0.72653,0.97541,0.56413,0.89917,0.00802,0.00802,0.00802
7,1778.62,1.02731,0.5593,0.89581,0.98049,0.96506,0.98813,0.73732,0.95236,0.56633,0.89,0.007624,0.007624,0.007624
8,1997.01,1.00186,0.54224,0.88794,0.98324,0.97056,0.99133,0.75717,0.88569,0.5054,0.87543,0.007228,0.007228,0.007228
9,2211.68,0.99709,0.53463,0.89098,0.98557,0.9701,0.99153,0.76611,0.87338,0.49265,0.87519,0.006832,0.006832,0.006832
10,2456.16,0.99385,0.52306,0.88429,0.98977,0.96675,0.99257,0.78444,0.85895,0.47429,0.86786,0.006436,0.006436,0.006436
11,2701.98,0.96877,0.51031,0.87789,0.98904,0.96994,0.99205,0.78678,0.86579,0.4603,0.8674,0.00604,0.00604,0.00604
12,2934.58,0.95057,0.49843,0.878,0.9874,0.97438,0.99234,0.77784,0.86374,0.48331,0.86771,0.005644,0.005644,0.005644
13,3155.78,0.94399,0.48693,0.87253,0.98756,0.97348,0.99248,0.77879,0.84236,0.46163,0.86216,0.005248,0.005248,0.005248
14,3404.22,0.94011,0.48425,0.87407,0.989,0.97439,0.9927,0.77874,0.85263,0.45255,0.86224,0.004852,0.004852,0.004852
15,3632.84,0.92146,0.47486,0.87286,0.98871,0.97522,0.99293,0.78496,0.83512,0.4399,0.85905,0.004456,0.004456,0.004456
16,3776.21,0.87097,0.45912,0.86989,0.98933,0.97522,0.99285,0.79093,0.82682,0.43854,0.85801,0.00406,0.00406,0.00406
17,3838.72,0.85956,0.45032,0.86924,0.98702,0.97715,0.99282,0.78347,0.83247,0.44704,0.85909,0.003664,0.003664,0.003664
18,3950.5,0.85693,0.44489,0.86785,0.99029,0.97774,0.99312,0.79564,0.81205,0.42972,0.85623,0.003268,0.003268,0.003268
19,4056.76,0.84771,0.43946,0.86445,0.9889,0.98041,0.9934,0.79554,0.83055,0.42292,0.85953,0.002872,0.002872,0.002872
20,4176.6,0.84444,0.43299,0.86456,0.98756,0.97732,0.99311,0.79953,0.81015,0.41871,0.8533,0.002476,0.002476,0.002476
21,4241.14,0.81787,0.4191,0.86057,0.99038,0.97759,0.99332,0.80046,0.80687,0.41091,0.85087,0.00208,0.00208,0.00208
22,4325.51,0.82324,0.4138,0.85835,0.99061,0.97715,0.9932,0.80758,0.79091,0.40497,0.849,0.001684,0.001684,0.001684
23,4415.01,0.81705,0.41307,0.85787,0.99066,0.97875,0.99344,0.81295,0.7739,0.3926,0.84612,0.001288,0.001288,0.001288
24,4496.88,0.80276,0.40351,0.85362,0.98791,0.98165,0.99343,0.81174,0.77686,0.39534,0.84621,0.000892,0.000892,0.000892
25,4612.34,0.79245,0.39834,0.85365,0.98799,0.98087,0.99346,0.81532,0.76886,0.38509,0.8444,0.000496,0.000496,0.000496
